Sample id (all begin with N),weight (mg),% N,% C
1-1,5.016,0.758185744,48.21901321
1-10,5.34,0.71381247,46.99519348
1-11,4.78,0.557846248,49.33522415
1-12,4.765,0.656194866,48.78528214
1-13,5.71,0.651063323,48.81862259
1-14,5.47,0.546689272,49.60577011
1-15,5.25,0.495726854,49.62229919
1-16,,0.778822541,47.58375168
1-17,,0.811682343,49.06072998
1-19,,0.606302142,49.20155334
1-2,4.31,0.673817754,47.60738373
1-20,,0.852612078,49.17339706
1-22,4.805,0.949375808,44.15467453
1-23,5.69,0.913646281,47.3859787
1-24,,0.781323314,49.07050705
1-26,4.715,0.653622985,50.0875473
1-27,5.453,1.056023002,47.49567413
1-28,4.657,0.582717955,51.14658737
1-29,,0.658866167,48.40255356
1-3,,0.791545272,47.69294357
1-31,,0.714191675,48.46926498
1-32,,0.925710917,46.07797241
1-33,,0.940777302,47.01195526
1-34,4.57,0.742470086,46.87538147
1-35,,0.73285073,47.90004349
1-36,,0.717709303,47.88946152
1-37,,0.676803052,48.19232559
1-4,,0.565132797,48.67285538
1-40,5.23,0.845050812,48.36310577
1-42,4.55,0.732202113,49.65124893
1-45,4.741,0.887200654,47.71228027
1-8,,0.557972014,49.11267853
1-9,5.27,0.512814462,49.97281647
2-1,,0.624637187,48.34100342
2-10,,0.695252657,48.97565842
2-11,,0.796872377,47.13574219
2-12,,0.695212603,41.92956924
2-14,,1.001339912,47.49516296
2-15,,1.297761083,46.47159958
2-16,4.453,1.259043694,44.16507721
2-17,4.71,0.637346447,48.73973465
2-18,,0.721198857,46.24798203
2-19,,0.833132625,47.88581848
2-2,,1.041232347,47.65010452
2-20,,0.865456522,46.95079422
2-21,,0.655054331,48.92953491
2-25,,0.726740837,46.91420746
2-28,,0.746579349,47.57107925
2-3,4.57,0.916500628,48.46821594
2-31,5.79,0.616746724,48.35777664
2-33,,0.858061016,48.36356735
2-35,,0.906108916,48.48570633
2-36,,0.878079236,48.41249466
2-37,,0.518240452,47.69546509
2-39,,0.701593757,47.75354767
2-4,,0.738646448,47.82896805
2-40,5.06,0.431528538,49.50833511
2-41,,0.561347783,50.05060196
2-42,,0.777631938,47.05540848
2-44,,0.835578561,47.12839127
2-45,,1.181946754,45.55799103
2-5,,0.746214509,47.39054871
2-6,4.73,0.474219084,49.2044754
2-7,,0.487911433,46.90090942
2-8,,0.740491509,48.39480209
2-9,,1.025410771,46.62007523
3-1,,0.72638005,45.47670364
3-10,4.52,0.960407972,46.36198044
3-11,5.436,0.855594337,47.79448318
3-13,4.947,0.839899123,48.8903923
3-14,,1.529112339,45.20072937
3-16,5.104,1.039214492,47.29365158
3-17,,1.101510525,47.39652634
3-18,5.47,0.681578994,47.65530014
3-19,,1.045271277,48.12994385
3-2,,0.744346201,47.24655533
3-22,,1.158531547,45.96465683
3-23,,0.702586055,47.14921951
3-24,5.83,0.552022696,49.87255859
3-26,4.51,0.771388292,46.34243011
3-27,,1.147033691,44.53104401
3-28,,1.088723183,46.13708115
3-29,4.886,0.926643372,47.90349579
3-3,,1.075146914,47.5049057
3-31,,0.942258596,46.64506912
3-32,5.49,0.968313217,46.96190262
3-33,,0.570681453,48.53504944
3-34,,0.570259392,47.84962845
3-35,,1.284453034,45.56389236
3-36,,0.642209053,47.96743011
3-37,5.097,0.796787798,50.23430634
3-4,4.998,0.436123282,49.82304001
3-5,,0.62417382,47.71247864
3-6,,0.628162205,47.94573975
3-7,,0.604856193,47.43251419
3-8,4.841,0.957886696,48.10824585
4-1,,0.678098977,47.88381577
4-10,5.042,0.634632289,48.28519821
4-11,5.611,0.862379611,47.21580505
4-12,5.466,0.858683527,49.58470917
4-13,,0.835827231,47.77282715
4-14,5.208,0.861391246,47.52788162
4-15,4.692,0.871201456,47.32738876
4-16,4.751,0.901076853,48.18271255
4-17,5.697,0.985647142,47.30129623
4-18,4.36,0.647040248,48.59463882
4-19,4.326,0.885369956,46.87457657
4-20,4.77,0.53796339,50.46889877
4-21,4.473,0.683588266,48.28456116
4-23,5.01,0.701897502,42.85636902
4-24,5.11,0.617972195,48.50165939
4-25,4.71,0.669051528,44.29518509
4-26,4.918,0.689853072,49.10201263
4-28,,0.781849861,47.10319138
4-29,5.048,1.61582005,47.07870865
4-30,5.6,0.934790373,47.34335327
4-4,,0.849170566,47.34220886
4-5,5.47,0.580440938,47.01630402
4-6,4.959,0.816547692,48.80713654
4-7,4.81,0.650419176,46.75307083
4-8,5.349,0.691464961,48.35817337
4-8,4.958,0.689775288,48.70785522
5-1,5.357,0.633761227,48.17120361
5-10,,0.502408504,43.87667465
5-11,5.24,0.557282388,48.07635117
5-12,4.6,0.52976352,47.94261932
5-13,4.86,0.478736341,47.84614563
5-14,5.518,1.015489101,49.35078049
5-15,5.165,0.607856035,48.81057739
5-16,4.681,0.644565165,48.09373093
5-17,4.937,0.64927119,45.93816757
5-18,4.755,0.494688928,46.28376007
5-2,5.06,0.575313509,48.33333588
5-20,5.094,0.568778694,49.30987167
5-23,5.271,1.034071088,49.09971237
5-24,4.788,0.548877776,49.16475296
5-26,5.393,0.773688078,48.30504608
5-3,5.001,0.550686955,49.00752258
5-4,4.95,0.457458317,49.20643616
5-5,4.824,0.76110971,46.62509155
5-6,4.746,0.730000794,48.30996323
5-7,4.35,0.460769355,49.57436371
5-9,4.782,0.775721252,47.90357208
6-10,5.295,0.858982623,46.94654465
6-11,4.666,0.663685441,48.75120544
6-12,5.28,1.033894539,45.67162323
6-13,5.408,0.909151435,48.22325897
6-15,5.056,0.623522103,47.80935669
6-16,5.182,0.689167619,48.8183403
6-17,5.077,0.704876542,47.20255661
6-18,,0.777172685,49.20452881
6-19,4.973,0.503035009,48.0063858
6-2,5.364,0.654450953,48.60034943
6-3,4.557,0.589714289,47.67445755
6-4,4.54,0.835260689,48.62668228
6-5,4.25,0.583976626,49.27283096
6-6,5.375,0.546255946,47.81143188
6-7,5.06,0.655559182,47.49616623
6-8,4.755,0.857442975,48.2689743
6-9,4.527,0.624283731,48.93153381
7-1,4.909,0.814165413,47.27700806
7-10,4.995,0.760103047,48.18637848
7-12,4.9,0.486846983,49.41630936
7-13,5.12,0.406530112,48.1733017
7-14,5.13,0.391590536,50.62601852
7-16,5.331,0.616646886,49.1284523
7-17,5.497,0.89409703,46.48597336
7-18,4.917,0.639436185,45.60141754
7-19,5.037,0.752620995,46.75233078
7-1,4.985,0.59704137,48.5932
7-2,5.367,0.64426893,47.51677704
7-21,4.827,0.694155216,48.26622391
7-23,5.254,0.72294116,48.5646286
7-3,,0.629794657,47.62204742
7-4,,0.595606565,48.16452789
7-5,4.949,0.578344643,48.02559662
7-6,5.412,0.917742729,46.71770477
7-7,4.769,0.678211749,48.25722504
7-8,4.39,0.622866511,49.81950378
7-9,5.198,0.799695849,47.62377548
8-1,5.352,0.719103634,48.92259979
8-5,4.518,0.788078725,48.35312271
8-6,4.67,0.579656899,49.91200256
8-7,5.68,0.859170735,48.68584824
9-1,5.29,0.748814046,48.71115112
,,,
,,,
,,,
