sample ID (always N first),initial dry mass (mg),concentration (microliters tannin solution out of total volume of 500 microliters,mean result (ug CT),st dev,cv%,,%CT,,,
1-1,27.1,400,159.095,2.276,1.4,,2.201499077,,,
1-10,23.2,400,150.208,6.418,4.3,,2.427931034,,,
1-11,24.8,300,122.1,3.5,2.9,,2.461693548,,,
1-12,24.6,400,221.105,4.782,2.2,,3.370503049,,,
1-13,24.9,300,156,2.23,1.4,,3.13253012,,,
1-14,25.4,400,146.2,1.996,1.4,,2.158464567,,,
1-15,28.2,300,88.5,4.16,4.7,,1.569148936,,,
1-16,22.5,300,118.6,1.24,1,,2.635555556,,,
1-17,26.7,300,91.3,0.97,1.1,,1.709737828,,,
1-19,22.9,200,58.7,0.96,1.6,,1.922489083,,,
1-2,28,400,140.462,1.756,1.2,,1.8811875,,,
1-20,24.8,300,94.8,1.21,1.3,,1.911290323,,,
1-22,20.2,400,29.137,0.725,2.5,,0.540909653,,,
1-23 ,25.3,400,144.498,0,0,,2.141768775,,,
1-24,23.9,400,111.697,0.668,0.6,,1.752567992,,,
1-26,27.1,400,145.913,3.015,2.1,,2.019091328,,,
1-27,23.7,300,187.1,8.98,4.8,,3.947257384,,,
1-28,27.7,100,180.1,4.65,2.6,,9.752707581,,,
1-29,26.1,300,80.8,3.08,3.8,,1.54789272,,,
1-3,25.1,400,59.968,2.287,3.8,,0.895936255,,,
1-31,27.3,300,152,1.08,0.7,,2.783882784,,,
1-32,24.8,300,66.6,1.24,1.9,,1.342741935,,,
1-33,28.4,300,26.6,0.03,0.1,,0.468309859,,,
1-34,22.8,300,83.6,0.3,0.4,,1.833333333,,,
1-35,22.6,300,92.3,2.54,2.8,,2.042035398,,,
1-36,25,400,147.144,1.625,1.1,,2.20716,,,
1-37,28,200,74,3.68,5,,1.982142857,,,
1-4,23.5,400,173.591,8.442,4.9,,2.770069149,,,
1-40,26.8,300,148.1,2.67,1.8,,2.763059701,,,
1-42,25.2,400,85.651,1.457,1.7,,1.274568452,,,
1-45,28.1,300,160.7,2.62,1.6,,2.859430605,,,
1-7,23,300,88.8,2.06,2.3,,1.930434783,,,
1-8,22.4,300,92.6,0.2,0.2,,2.066964286,,,
1-9,25,400,199.326,4.292,2.2,,2.98989,,,
2-1,26.9,400,174.387,8.161,4.7,,2.431045539,,,
2-10,25.7,300,49.5,0.59,1.2,,0.963035019,,,
2-11,28.2,300,91.9,1.32,1.4,,1.629432624,,,
2-12,24.4,300,113.7,0.94,0.8,,2.329918033,,,
2-14,24.5,400,153.022,5.991,3.9,,2.342173469,,,
2-15,24.3,400,100.578,4.827,4.8,,1.55212963,,,
2-16,23.6,200,36.6,1.67,4.6,,1.163135593,,,
2-17,22.9,400,180.148,4.986,2.8,,2.950021834,,,
2-18,25.2,300,33.5,0.67,2,,0.66468254,,,
2-19,21.8,300,69.7,2.77,4,,1.598623853,,,
2-2,27,300,64,2.83,4.4,,1.185185185,,,
2-20,24.2,400,80.148,2.201,2.7,,1.24196281,,,
2-21,25.4,400,96.41,1.639,1.7,,1.423375984,,,
2-25,24.5,300,129.1,3.41,2.6,,2.634693878,,,
2-28,23.8,300,166.3,1.27,0.8,,3.493697479,,,
2-3,24.3,300,95.1,0.13,0.1,,1.956790123,,,
2-31,23.4,200,86.8,3.48,4,,2.782051282,,,
2-33,24.1,300,79.1,2.43,3.1,,1.641078838,,,
2-35,26,300,114.5,0.73,0.6,,2.201923077,,,
2-36,21.5,300,114.7,4.08,3.6,,2.66744186,,,
2-37,22.6,300,109.4,0.48,0.4,,2.420353982,,,
2-39,28.8,300,26.4,0.89,3.4,,0.458333333,,,
2-4,23.8,400,110.179,2.438,2.2,,1.736013655,,,
2-40,23.2,300,74.2,0.63,0.9,,1.599137931,,,
2-41,21,400,104.323,4.226,4.1,,1.862910714,,,
2-42,23.3,200,21.9,0.7,3.2,,0.704935622,,,
2-44,25.9,300,174.4,6.72,3.9,,3.366795367,,,
2-45,26,300,82.4,3.64,4.4,,1.584615385,,,
2-5,24.6,300,66.4,1.55,2.3,,1.349593496,,,
2-6,21.9,300,60.4,2.83,4.7,,1.378995434,,,
