NONC X. galericulata thallus measurements (mm) of the width and height.,,,,,,"Measured the 1st week of May 2011, on the north side of each tree, focused on the 45-55cm high quadrat.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Note, after looking at the way the data is distributed within each tree, it might make more sense to use the median instead of the average value per tree.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"A few mistakes in there were updated on Dec 2, 2018.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Xanthomendoza galericulata sizes,,,,,,,,,,,,,,,
Tree,Genotype,Measurement,Thallus #1,Thallus #2,Thallus #3,Thallus #4,Thallus #5,Thallus #6,Thallus #7,Thallus #8,Thallus #9,Thallus #10,Average one way direction,Average thallus area (mm^2) (assuming a square),Average thallus area (mm^2) (assuming a circle),Notes,,
N1-04,1017,Dimension 1,2.69,1.00,3.18,3.53,1.72,2.59,1.23,2.20,1.86,2.81,2.281,,,,,
,,Dimension 2,3.83,1.00,3.21,3.46,2.04,2.58,2.22,2.84,1.55,3.30,2.603,5.937443,4.683615133,,,
,,,,,,,,,,,,,,,,,,
N1-05,T6-C,Dimension 1,1.24,2.03,2.57,5.29,1.43,3.25,2.75,2.50,2.26,2.68,2.6,,,,,
,,Dimension 2,2.00,1.69,3.54,3.60,1.55,3.29,2.57,1.26,2.62,2.68,2.48,6.448,5.067074791,,,
,,,,,,,,,,,,,,,,,,
N1-07,T6-B,Dimension 1,3.62,4.30,2.47,0.67,0.80,2.67,3.77,3.29,3.74,2.10,2.743,,,,,
,,Dimension 2,5.95,4.51,2.23,1.14,0.80,3.16,2.46,3.29,2.56,1.60,2.77,7.59811,5.967684778,,,
,,,,,,,,,,,,,,,,,,
N1-08,1017,Dimension 1,3.40,2.97,1.37,2.26,4.53,0.50,1.80,1.00,0.68,1.25,1.976,,,,,
,,Dimension 2,2.76,2.95,2.93,2.25,2.70,0.60,1.70,0.60,0.50,1.26,1.825,3.6062,2.836779823,,,
,,,,,,,,,,,,,,,,,,
